,id,album,title,artist,album_artist,tracknumber,albumsort,titlesort,isrc,date,year,musicbrainz_artistid,musicbrainz_albumid,musicbrainz_albumartistid,musicbrainz_albumstatus,total_tracks,language,musicbrainz_albumtype,compilation,releasecountry,barcode
32,a46b4cbc-5b0c-49f0-bf9a-e58874592b3c,Suici.De.pression,In My Last Mourning...,['Thy Light'],Thy Light,2,6,2,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
33,ae0b021d-f9c0-4dcd-b8a8-68e94ddc2734,Suici.De.pression,A Crawling Worm in a World of Lies,['Thy Light'],Thy Light,3,6,3,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
34,131288b7-b1fe-41c2-8159-2ad946db7ab1,Suici.De.pression,I Am the Bitter Taste of Gall,['Thy Light'],Thy Light,4,6,4,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
35,fda257e0-b508-460e-a974-0629672bd832,Suici.De.pression,...and I Finally Reach My End,['Thy Light'],Thy Light,5,6,5,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,
36,66a66604-8d5d-400c-ad3c-182e5ce798fa,No Morrow Shall Dawn,Suici.De.spair,['Thy Light'],Thy Light,1,7,1,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
37,5f96dcec-50f8-47b7-9639-60672a9d3708,No Morrow Shall Dawn,Wanderer of Solitude,['Thy Light'],Thy Light,2,7,2,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
38,317d6689-e53b-4097-a784-b9dd7ea4b55a,No Morrow Shall Dawn,No Morrow Shall Dawn,['Thy Light'],Thy Light,3,7,3,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
39,67aa43a2-1162-4073-8e37-e4a4c9458407,No Morrow Shall Dawn,Corredor Seco,['Thy Light'],Thy Light,4,7,4,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
40,a88bc809-35ae-448a-920f-4c5160913adf,No Morrow Shall Dawn,The Bridge,['Thy Light'],Thy Light,5,7,5,,2013-07-20,2013,481f362b-c733-4fc5-8109-aacc29bd30e6,d26a7d5e-2e6b-464c-afe8-54766cfaeb53,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,CN,888174111919
41,fa34eccf-e2c4-4091-b578-50f3be98c3ea,Thy Light,Infinite Stars thereof,['Thy Light'],Thy Light,1,8,1,,2021-06-06,2021,481f362b-c733-4fc5-8109-aacc29bd30e6,66fee508-c74a-43cd-95ca-fdddb49e3ed8,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,2,eng,EP,,XW,7316210932899
42,5547e604-fbc7-4867-9d14-e004e963f680,Thy Light,The Crossing Of The Great White Bear,['Thy Light'],Thy Light,2,8,2,,2021-06-06,2021,481f362b-c733-4fc5-8109-aacc29bd30e6,66fee508-c74a-43cd-95ca-fdddb49e3ed8,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,2,eng,EP,,XW,7316210932899
43,334cce46-23a5-4cd7-a998-c3964bf3b460,Thy Light,Infinite Stars Thereof...,['Thy Light'],Thy Light,1,9,1,,2021-06-06,2021,481f362b-c733-4fc5-8109-aacc29bd30e6,993c6cbb-2925-40f4-a913-0f5895659512,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,2,eng,EP,,AT,9009955000814
44,2bde854e-5501-4ad2-af56-a0823cb8a873,Thy Light,The Crossing of the Great White Bear,['Thy Light'],Thy Light,2,9,2,,2021-06-06,2021,481f362b-c733-4fc5-8109-aacc29bd30e6,993c6cbb-2925-40f4-a913-0f5895659512,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,2,eng,EP,,AT,9009955000814
