,id,title,artist,album_artist,album,year,track,total_tracks
0,bf3f4886-3a36-4b63-8a63-6cc2fb21662e,Drachentanz,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,1,8
1,60927b31-c2eb-4962-838f-282809376048,Das Tunier,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,2,8
2,eedfa1b5-17fe-4b66-8359-e4e9adf1c560,Prima Nocte,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,3,8
3,dc701a5c-e068-493c-b246-ad901121ae3b,Teufel,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,4,8
4,70183081-907d-4985-a90b-bf4c586af39c,Der sanfte Flöter,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,5,8
5,5b5a8c81-e59c-48ba-8554-56a43cf70a3d,Ekel,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,6,8
6,955655f8-32b2-479a-9a85-6ea578a5b006,Sauflied,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,7,8
7,61cd7681-21ba-4f21-8e17-a12789ab90ba,Der Traum,['Feuerschwanz'],Feuerschwanz,... des Hauptmanns geiler Haufen,2004,8,8
8,39a55774-06be-40cc-9a4d-0b3acb3623d2,Es war einmal,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,1,15
9,015183dd-d3cf-4a2c-8b27-37d0720c1eec,Das Mittelalter,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,2,15
10,6bc0c1aa-78c7-4505-bdcd-96605c96d4a0,Drachentanz,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,3,15
11,cba20886-0458-4652-9ce8-1ffca07abec6,Das Turnier,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,4,15
12,d54c31ea-8331-4bf0-88c3-2d695977ded0,Prima Nocte,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,5,15
13,98c31b9d-9116-44b3-be41-803f6b8972f0,Bärentanz,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,6,15
14,6180c0d4-2db0-4652-8ad2-dfdd62cb4eaa,Herren der Winde,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,7,15
15,f9581fb1-29ad-498f-b8ce-fb9cd6fa1292,Der Teufel,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,8,15
16,6efba5ce-a6b0-47ee-aaf8-d8205a3daa10,Schneewittchen,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,9,15
17,87a338d7-18cf-4d53-ae12-8e694382a9fc,Der Traum,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,10,15
18,f1123223-f2d8-4de0-b526-bfa1419e2aae,Räuber,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,11,15
19,66623cff-eb9d-49ed-b93d-9e8be474cb2f,Sauflied,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,12,15
20,68fd8f29-6aea-4cb1-be08-160044e6e9dd,Teufelsgeschenk,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,13,15
21,35aeae88-3af4-4199-971f-092b09c0f493,Lasst die Ritter schlafen,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,14,15
22,20dfbfbc-d1f9-4382-a641-0bf9ea2c27e1,Gute Nacht / [silence] / Feuerschwanz,['Feuerschwanz'],Feuerschwanz,Prima Nocte,2005,15,15
23,4ee4536b-13b7-44d7-bb15-6343db9566fe,Es war einmal... (Teil 2),['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,1,18
24,bdfb0ae2-d439-45dc-a819-c3b2f7ac2f54,Met & Miezen,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,2,18
25,8e34e33d-5de8-44fd-a794-95326aca04fb,Ra Ra Rattenschwanz,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,3,18
26,26915e29-7410-4fc1-99ea-6390abe7dc8f,Der Glöckner,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,4,18
27,f41384f3-1407-4f02-b04e-bdf5b022780c,Vaganten,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,5,18
28,54eb7cb7-86e0-4eb2-b9ea-d67161f9ead6,Zwischenspotzzz,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,6,18
29,5fad4b8e-bc86-401c-82a8-2e9f24fa61ef,Lied vom Haufen,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,7,18
30,8096adf6-d67f-46a3-b55c-4ccdcce74d10,Feuerkantate,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,8,18
31,058aeecf-bace-4f14-b474-d6b09d48a2d7,Zwischenspotzzz,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,9,18
32,69f3948e-efca-49d6-991e-91f8df08c98e,Meister der Folter,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,10,18
33,6abcae95-e9ea-4228-af75-45a2323dd888,Der Barbier,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,11,18
34,0b6ee3a6-6a7c-49ad-9c18-48eac526f211,Verteidiger des wahren Mets,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,12,18
35,85914a02-2b33-4b9f-a8b5-7f6e42a30f84,Die buckligen Fiedler,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,13,18
36,2b460f09-dee2-46ae-b476-fe9636a764b4,Zwischenspotzzz,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,14,18
37,122684cc-e5c8-466f-b917-f1a46470eba3,Holdste Maid,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,15,18
38,45f14f5f-6bd3-46db-a7d2-02f6b43faf42,Der geile Prinz,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,16,18
39,e332553d-cf8d-486a-85ac-44c4e9b718f3,Habe Mut,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,17,18
40,7402cb81-b2f6-4c35-b583-780bc1eeff92,Letzte Feier,['Feuerschwanz'],Feuerschwanz,Met & Miezen,2007,18,18
41,9680d3b0-e193-4b64-9bf5-b1da25216e21,Drachentanz,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,1,17
42,be30022e-b208-4671-bb0c-cee3e4c6d1b7,Turnier,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,2,17
43,26d4b2a2-7a29-4413-bdd4-38ba08020fd5,Die Geburt von Johanna,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,3,17
44,b6f7930d-ba79-4a2b-8a8e-4a7b5ad9677d,Der Barbier,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,4,17
45,f9d669ec-5a38-4f33-9b7b-0b6ea6adce04,Feuerkantate,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,5,17
46,a463f881-66a5-4fe2-9283-e40f584fbfdd,Herren der Winde,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,6,17
47,2eb16f74-8c70-4927-8683-0870a72c56c6,Met und Miezen,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,7,17
48,e3e5aa4d-c912-4909-8e32-c37f059622c4,Der Glöckner,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,8,17
49,6c86325a-aad6-4ec5-830d-74031798d5e5,Das Groupie,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,9,17
50,164011dd-1fcf-4032-8e16-1ac5fb86a08e,Verteidiger des Wahren Mets,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,10,17
51,3c88a20d-82c6-472f-bfd2-6710af69efea,Räuber,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,11,17
52,435d8266-22eb-4380-b0b8-8147151273ce,Teufelsgeschenk,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,12,17
53,92f97fa6-004f-4bbd-a052-ce68df7a9dfd,Bärentanz,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,13,17
54,53a7461c-cb2e-4316-9e57-d15001bb878e,Der Teufel,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,14,17
55,8d124104-8b61-4c9e-8767-9b497b24e5d1,Schneewittchen,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,15,17
56,d3ad9b82-c9af-41e0-8df4-f242dd075a3b,Holzwurm,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,16,17
57,38bb0a34-6429-4daa-b5bc-5289bdda4652,Sauflied,['Feuerschwanz'],Feuerschwanz,Drachentanz Live,2008,17,17
58,0934804b-4768-4f31-9817-980db02ff1bc,Es war einmal… (Teil 3),['Feuerschwanz'],Feuerschwanz,Metvernichter,2009,1,16
59,731f952c-1921-4e9e-9edf-a390789ea507,Metvernichter,['Feuerschwanz'],Feuerschwanz,Metvernichter,2009,2,16
